umap1,umap2
-3.5615573,5.347817
8.466761,-2.1760168
6.349158,0.059791263
0.43167928,3.884129
-1.9683523,1.6850929
4.946821,4.1965666
-0.743321,2.1054068
8.210284,-2.2828858
-5.53423,3.680372
-3.9081998,4.547053
8.118922,-1.1135255
14.74187,-3.1110044
13.453292,-3.3891845
10.284682,-1.9546659
5.822926,0.57010025
13.693046,-2.8545117
9.194901,-2.1453586
-2.0316255,-7.2796936
13.183134,-2.598009
8.917264,-2.8644273
-3.861691,5.475393
6.543083,3.8926516
7.614155,-0.7885869
13.094822,-3.2062304
-1.1639128,-0.7408805
8.558529,-1.8104023
13.847495,-2.1638103
15.460213,-4.1602125
-1.9851506,1.5771239
6.753673,4.568054
9.291304,-2.6348522
-2.5464177,1.0595717
-2.3716364,-7.223843
-2.603056,1.2752371
8.683974,-1.9999846
-0.5636152,2.1077628
-3.1798005,0.6720775
-1.8683021,4.1078653
12.566718,-3.0603473
13.35196,-3.2682974
-4.3099933,3.9333065
-4.5551224,4.8702035
-1.9143935,-8.388436
-5.637524,4.681932
9.1713,-2.6300046
-0.48184985,1.5289735
9.362817,13.411261
9.016279,-1.5003295
-5.8876705,4.1866407
2.2822015,4.062027
-1.496646,-7.7721214
-1.6339884,-7.9091954
8.7314415,14.171482
8.102044,-1.856606
8.392042,-1.4788176
-2.9714553,1.1923369
-3.071323,1.1600127
4.865844,12.312338
0.09017025,3.9542015
9.349606,-1.4561291
8.127852,-1.8344747
13.8485,-2.1216164
-0.89971006,0.95298505
9.419969,-0.8207782
-4.249552,4.9169154
10.964245,-2.2610612
-2.668347,4.2139344
-2.0755076,-7.343228
-2.3385565,0.28901222
-0.4388901,2.1925383
14.766298,-3.210627
-2.288999,-7.4321322
-1.9393857,4.2541566
8.301842,-1.0731837
-0.8281028,2.2402136
9.175276,15.435376
13.072871,-2.9523594
7.444331,4.8221993
-4.640872,4.804298
-2.9998264,-0.022324799
5.394626,0.92647904
8.371754,-1.4779125
7.2815905,-0.6348949
7.156205,4.688796
-7.081893,4.2098613
13.891852,-2.2422025
1.9545687,3.9227748
-5.225303,4.4063525
4.127892,3.4588027
-4.7156563,4.7449894
-2.5830562,0.15476197
8.463175,-2.4424915
2.7688515,3.7425454
-1.768985,-0.78512615
-7.182522,4.1528397
-3.6527374,4.657862
14.813539,-3.139961
11.674455,-2.2155163
-5.4402394,4.564245
6.567192,4.433401
14.014055,-3.7929974
-0.3654563,3.5925102
-0.9163109,2.5513468
-2.2293978,-7.512462
-2.9478543,4.3154807
2.2813075,10.282725
14.636431,-3.676003
8.209741,-0.89979476
-5.313799,4.9845824
-2.8631778,1.0669968
13.578754,-3.3135643
-2.9178972,1.1052744
8.844948,-0.82167494
3.6801784,-3.7381394
-2.5067585,4.204108
14.123969,-3.4186008
14.076452,-2.4336126
14.080813,-3.2194061
14.2154665,-3.2932396
15.314062,-4.084658
-1.4137605,1.2171077
-2.0968993,-8.239845
-4.8287373,4.39039
10.793725,-2.0187488
13.064457,-2.6902971
-2.0975475,1.2314295
9.04778,-2.3382459
7.250829,4.507025
-0.8785535,1.6089603
9.205145,-1.4549631
-3.9111938,5.102273
3.9099422,4.0460134
8.073732,-1.9967307
9.018848,14.857802
9.27088,15.886165
5.446518,0.8867636
-4.7844787,4.3088512
8.683101,14.125989
1.9942843,4.0357404
13.660134,-3.4702408
4.862833,12.28807
4.186774,3.7783628
-0.42496505,2.4015615
4.902764,12.275557
-2.355197,-7.209034
13.725894,-3.9348955
10.28638,-2.4606261
-1.3712442,2.0330222
4.1346483,-3.2388237
15.144618,-3.1567736
3.406926,4.4044833
3.9050002,4.092142
-6.92162,4.1825747
-1.6989056,4.167382
-4.027642,4.2923913
7.269239,4.6505227
-4.943266,4.045261
5.6594176,0.71197337
-2.8486238,-0.013967393
13.425328,-2.2727072
-2.0672166,1.6697727
9.333886,-2.4904847
-3.591657,4.7423673
-1.8036748,1.2729062
4.127869,-3.251727
10.084738,-1.6254615
-2.3538592,0.9302912
2.404247,3.6118243
10.158498,-2.4932938
-1.0116811,2.4909337
13.625329,-3.251896
-2.6201372,0.3021968
-0.27566442,1.3768314
-1.7246851,1.099944
-2.4208155,-7.1676183
-2.3299088,4.1014204
5.083455,1.1829783
-2.0973485,-7.4989653
-1.8248233,0.47601748
8.284841,-1.3589852
1.6492438,3.9221709
4.588004,1.620026
11.272517,-2.0045617
8.037295,-1.5751584
9.512935,-2.5359392
2.5452728,10.559264
10.067964,-2.6468577
-2.709626,0.14886343
-1.9636302,1.0092771
14.021286,-2.5468109
-1.5943378,4.1453114
13.653969,-2.5079203
8.237408,-1.2890224
14.00433,-3.1231284
-0.49826655,1.5833038
-3.9019127,4.060328
14.790053,-2.5821342
-3.0709813,1.1600058
-5.524832,4.8719993
10.692088,-2.0646174
4.736204,12.35796
-1.7702309,-1.5586108
9.894572,12.607503
-0.2959722,3.4696963
6.5320807,4.4255395
8.858491,-0.8122634
9.924942,12.573515
9.530538,13.038318
-0.4615779,1.8937242
-2.1223886,4.282336
10.473536,-2.4898658
13.970511,-2.2813094
8.512749,-2.4076219
-2.03724,0.97760904
-3.0566807,4.401054
-1.7585542,-1.215484
-0.28419852,2.0144787
-4.1865664,4.9052644
-1.5871881,0.9535102
-4.209019,5.0094795
-2.0638256,-7.110842
-3.9926724,5.1567173
-0.7041053,0.93134916
-1.5657948,-1.0793818
-7.081208,4.234587
-4.285931,4.5067096
-3.7712784,5.343019
13.414667,-2.027531
-1.9207234,0.53147125
-7.1087284,4.2493024
9.320917,-2.602119
5.9041786,3.6191483
-4.794863,5.3341403
9.507606,-1.9645879
6.233099,0.19407062
-3.3576186,4.474203
14.043918,-2.7067294
-5.283133,4.3021855
8.387868,-1.9258729
15.165008,-4.1476207
8.529265,-2.3804877
-2.0505633,1.7533997
3.5393782,4.4090347
-5.6352057,4.793249
9.1380205,15.958139
9.826562,12.679073
13.82807,-2.231434
15.1272745,-2.910106
-2.01948,-7.2773857
-1.6681309,-8.049413
5.787185,0.68388927
-3.077955,0.19568622
9.191418,15.626652
7.497137,-0.6475758
-0.6812875,2.1462898
8.948199,-2.4239953
15.290403,-3.4991314
-1.4791498,1.2498515
4.162872,2.1767175
6.0777326,3.594092
-3.7502854,4.6975827
-7.0379357,4.1405945
-4.057305,4.7143974
-1.955082,-7.8804665
14.918424,-3.8911762
9.440591,-2.1072035
7.7953706,-0.706316
-1.871898,4.296541
7.3824015,4.886099
4.4155602,3.729398
-2.0138855,0.28192633
-0.73446447,2.525057
14.458244,-2.9848828
15.216797,-2.9653163
14.62347,-3.5739741
9.324605,-0.9509765
15.168826,-3.7872348
12.556506,-2.5147328
-7.151592,4.1880817
8.211922,-2.1294296
-2.2356505,-7.5925517
14.934526,-2.8704875
-0.5750827,2.3034053
6.7989,-0.20510785
-2.0079355,-7.9764194
-7.0620494,4.2726574
-5.464447,4.9189587
-2.3930824,1.5313939
5.9522324,0.45933592
12.949007,-3.1264822
-3.0633547,4.4405985
-2.182965,-7.929526
6.524407,-0.09746996
6.6636844,3.8911932
14.212132,-2.8672473
6.1082172,3.9268665
6.680538,4.526808
-1.814291,-7.7163854
9.690892,-1.8113838
-3.9124184,4.1553664
-0.357915,3.5902958
13.814473,-3.3631344
-1.843649,-8.164484
15.180034,-3.8239667
6.7928734,4.4124618
-2.368613,1.4835626
-1.7364707,-7.9887366
-5.575587,4.179573
-1.9171672,0.37523335
9.122531,15.496138
4.768948,3.4820902
14.2184305,-2.3757818
-4.108629,4.451236
-2.1600876,1.2635486
8.468065,-0.8793505
-0.8765865,2.5314877
-0.9787783,2.3264403
-0.88118535,1.4807179
7.1614203,-0.30132917
-3.7439933,4.4992
-3.0154848,0.03142555
3.720184,-3.6989138
9.476543,13.392152
6.1606355,0.25404766
-1.649437,1.4250335
8.355917,-1.9275538
13.654753,-2.9575534
9.11258,-1.3085806
-4.810764,4.5872073
8.714647,14.110903
-0.7009876,2.227781
2.2054672,10.1575775
15.437749,-3.318482
7.0232353,4.753414
8.981308,-0.9008934
6.279206,3.734092
8.946137,14.304786
14.14461,-3.8436291
-2.3630562,-7.742377
14.231607,-3.561478
-5.430236,5.019893
9.903266,-1.3237451
-2.0245385,0.40413916
13.156495,-2.7650576
13.715849,-2.3445067
4.8301497,4.1354947
14.645809,-2.837238
8.227054,-1.9883926
-4.1683335,5.4358215
9.030222,-0.8129169
14.274116,-3.3520665
5.2716517,1.0349917
-4.9610486,5.3170094
11.372312,-2.1158807
-3.9448245,4.1326423
6.713541,3.9460492
14.029018,-3.2941449
14.086495,-3.2077792
4.829868,4.1454415
-4.6380944,5.056172
-0.6392376,2.1619527
-0.6221302,2.4430873
10.60665,-2.0439475
-4.1724153,4.4763794
-4.9866962,5.0279503
13.474367,-2.3994749
-1.7172104,-8.27424
9.071928,-2.4846995
14.11513,-2.907527
-1.7560943,0.90227985
-2.5370457,-0.26065415
-7.1540437,4.1593513
14.324367,-3.256436
-4.895959,4.324942
-1.7609493,-0.7838167
-0.15725066,1.2936751
8.87338,14.337615
8.681949,-2.6642604
-0.10470584,2.3091269
-1.8635944,-7.7047644
8.683675,14.14823
7.1886597,-0.31378633
-1.10553,1.2546787
-1.9196346,-8.247863
-3.9209304,4.980609
-1.002438,2.6679902
9.082822,15.210938
13.497688,-3.2959113
7.394471,4.7840486
-2.6854498,4.5056477
-2.8001158,0.819238
2.7074878,3.8050702
2.5519493,4.092483
8.617215,-0.7741758
5.5021205,0.8429951
-4.9500484,4.2935877
-3.6124344,4.0439568
-1.8203467,-7.6289
14.904778,-2.8915544
-4.4243364,4.613224
-4.26592,4.896975
9.598289,-2.138863
5.2345037,3.1525578
9.034067,14.99822
15.018485,-2.7934773
8.566969,-2.41925
7.0539665,4.664882
-1.9852836,1.4363136
9.604419,-1.3775092
5.1996207,1.0839714
14.053584,-3.7057562
4.7848034,12.36617
15.292122,-3.9739127
-7.109103,4.2314043
0.029565727,2.2662914
10.201733,-1.6169611
-2.8001466,0.10956295
-1.5824231,1.8119496
-2.3750162,-7.7653728
6.4756484,3.916862
4.2288547,2.0787508
13.87077,-2.4532435
9.073143,-2.190731
9.347811,-1.8789687
9.204326,-0.8888581
13.158718,-2.6615934
13.3005705,-2.7202742
-0.7855717,2.4445539
8.971036,-2.2156446
2.4324517,4.014648
9.110883,15.939531
6.408611,4.3047714
