vivae1,vivae2
-2.0476637,2.530842
-0.49360597,-0.36105767
0.5236862,-0.2219933
-2.3533983,1.235279
-0.8609449,1.5791752
1.5689892,-0.9313363
-1.3160806,1.1134509
-0.28055036,-0.6643605
0.19575857,0.69977987
-0.20073447,2.733439
-0.23033068,-0.12234202
-0.7884123,-2.5484817
-0.64647985,-1.9626595
-1.0019722,-1.0455515
0.8130026,-0.16266303
-1.2530149,-1.9316087
-0.6876377,-0.69279134
0.9228483,1.2414818
-1.614286,-1.6256497
-1.0312421,-0.6432084
-1.0589237,3.3119514
1.1515331,-1.2980915
0.219452,-0.5801374
-1.0830661,-1.5492696
-0.38437492,0.44506255
-0.3246546,-0.42170984
-2.0105324,-2.109961
0.53178865,-2.6194685
-1.0977955,1.2444634
1.6413937,-2.1077628
-1.018882,-0.6855198
-1.0558994,1.9259716
0.44708827,0.984998
-0.8626709,1.310081
-0.5437671,-0.39376768
-0.972976,0.7773018
-1.5171053,2.3252172
-1.6388084,1.5524232
-1.2069305,-1.5789678
-1.1796778,-1.6949029
-0.14908585,1.6048368
-0.24225333,2.6534193
1.4117128,2.4929876
0.3353314,2.4597027
-1.0090467,-0.64391005
-0.63976777,0.84308064
3.1483092,-1.2475396
-0.44305295,-0.66573167
0.0688469,1.6109134
1.6309788,0.7077998
1.4191092,3.2013328
1.0328084,2.248359
2.8362978,0.14956248
-0.30068567,-0.7381134
-0.28240642,-0.7186023
-0.828401,1.7552872
-0.8906431,2.0535338
1.6991593,-0.16981217
-1.6722208,0.82294786
-0.42483145,-0.80612886
-0.2415125,-0.2964372
-1.6593981,-2.162362
-0.5876513,0.76804316
0.38132578,-1.4120404
0.016959354,2.2483118
-1.0881436,-1.4170202
-1.2974807,2.3600616
1.1033511,1.3600348
-0.6633295,1.3753028
-1.3165733,0.6006135
-0.82417166,-2.899513
0.5157963,1.5134966
-1.0814912,1.706672
0.5155075,-0.9390489
-1.1901382,1.025529
3.5887809,-0.27243114
-0.62826705,-1.5753803
2.2258632,-2.6556225
-0.26931003,2.7593908
-1.491977,2.453772
0.5439342,0.26479566
-0.08471253,-0.34040213
0.33298683,-0.49040234
2.0544927,-2.1897435
0.45818627,2.882045
-2.4248116,-1.7906903
2.6873446,1.1911381
-0.0047665313,2.3423321
0.86896265,0.21732366
-0.20316836,2.5427866
-0.484564,1.6470711
-0.6726295,-0.7747326
1.8526253,1.1867617
-0.25334913,0.7165048
0.5023088,2.400321
-0.90492266,2.8291547
-1.131541,-2.7377903
-2.1517515,-1.2163419
-0.06980621,1.9917637
1.7180504,-1.72477
-0.39398018,-2.1497715
-1.9112582,1.0158253
-1.9095949,1.4310057
0.71728635,1.5831299
-1.2028586,2.3733654
1.0176588,0.8609544
-0.50482905,-2.322156
-0.11015444,-0.3335287
0.30283585,3.1061907
-0.7903744,1.75906
-0.7946026,-1.9019983
-0.9741792,1.9177834
0.054207347,-0.87146854
1.8078507,1.6670817
-0.8208169,1.7936431
-0.5531832,-2.0171137
-1.7533091,-2.1854484
-1.1661992,-2.0738525
-0.8820492,-2.4461071
0.33280697,-2.917841
-0.5643897,1.1477553
0.6864575,2.1853607
-0.08489215,2.2435732
-1.4710835,-1.1084653
-1.1822425,-1.8385926
-0.76375556,1.1517887
